vids freq
BEL000071985 0.002422
BEL000071985 0.007709
BEL000071985 0.003873
BEL000071985 0.007243
BEL000071985 0.008058
BEL000071985 0.005231
BEL000071985 0.006580
BEL000071985 0.003930
BEL000071985 0.009659
BEL000071985 0.008725
BEL000071985 0.004663
BEL000071985 0.006053
BEL000071985 0.005505
BEL000071985 0.002553
BEL000071985 0.007065
BEL000071985 0.007643
BEL000071985 0.007157
BEL000071985 0.003619
BEL000071985 0.003458
BEL000071985 0.006397
BEL000071985 0.004504
BEL000071985 0.004570
BEL000071985 0.001195
BEL000071985 0.002729
BEL000071985 0.004714
BEL000071985 0.005672
BEL000071985 0.002272
BEL000071985 0.002880
BEL000071985 0.004432
BEL000071985 0.003457
BEL000071985 0.001923
BEL000071985 0.007698
BEL000071985 0.001681
BEL000071985 0.000244
BEL000071985 0.004469
BEL000071985 0.000193
BEL000071985 0.002392
BEL000071985 0.002794
BEL000071985 0.004431
BEL000071985 0.001300
BEL000071985 0.002210
BEL000071985 0.006678
BEL000071985 0.002792
BEL000071985 0.007449
BEL000071985 0.002039
BEL000071985 0.008720
BEL000071985 0.000221
BEL000071985 0.001824
BEL000071985 0.006287
BEL000071985 0.007427
BEL000071985 0.006455
BEL000071985 0.002591
BEL000071985 0.003984
BEL000071985 0.004962
BEL000071985 0.014092
BEL000071985 0.005507
BEL000071985 0.016085
BEL000071985 0.008683
BEL000071985 0.006767
BEL000071985 0.005947
BEL000071985 0.000147
BEL000071985 0.002237
BEL000071985 0.005500
BEL000071985 0.005600
BEL000071985 0.002237
BEL000071985 0.007470
BEL000071985 0.006320
BEL000071985 0.009855
BEL000071985 0.000905
BEL000071985 0.004006
BEL000071985 0.002121
BEL000071985 0.002724
BEL000071985 0.001350
BEL000071985 0.007923
BEL000071985 0.000077
BEL000071985 0.006161
BEL000071985 0.007449
BEL000071985 0.001515
BEL000071985 0.010179
BEL000071985 0.002406
BEL000071985 0.003276
BEL000071985 0.001124
BEL000071985 0.008526
BEL000071985 0.010864
BEL000071985 0.005201
BEL000071985 0.002729
BEL000071985 0.008221
BEL000071985 0.006273
BEL000071985 0.018342
BEL000071985 0.006156
BEL000071985 0.009471
BEL000071985 0.008682
BEL000071985 0.013294
BEL000071985 0.014424
BEL000071985 0.018909
BEL000071985 0.012803
BEL000071985 0.007930
BEL000071985 0.005218
BEL000071985 0.004318
BEL000071985 0.006281
BEL000071985 0.005155
BEL000071985 0.005827
BEL000071985 0.000550
BEL000071985 0.003979
BEL000071985 0.004934
BEL000071985 0.001395
BEL000071985 0.001420
BEL000071985 0.010121
BEL000071985 0.019104
BEL000071985 0.006971
BEL000071985 0.000364
BEL000071985 0.007523
BEL000071985 0.010614
BEL000071985 0.000576
BEL000071985 0.001276
BEL000071985 0.001672
BEL000071985 0.004796
BEL000071985 0.002972
BEL000071985 0.005893
BEL000071985 0.008980
BEL000071985 0.000050
BEL000071985 0.002035
BEL000071985 0.000406
BEL000071985 0.000994
BEL000071985 0.007653
BEL000071985 0.013024
BEL000071985 0.000330
BEL000071985 0.000798
BEL000071985 0.004703
BEL000071985 0.004053
BEL000071985 0.000028
BEL000071985 0.000185
BEL000071985 0.001227
BEL000071985 0.009756
BEL000071985 0.000719
BEL000071985 0.012806
BEL000071985 0.011706
BEL000071985 0.009748
BEL000071985 0.009562
BEL000071985 0.000243
BEL000071985 0.005413
BEL000071985 0.013031
BEL000071985 0.017991
BEL000071985 0.003276
BEL000071985 0.000266
BEL000071985 0.001235
BEL000071985 0.001113
BEL000071985 0.010036
BEL000071985 0.014964
BEL000071985 0.007830
BEL000071985 0.001867
BEL000071985 0.005363
BEL000071985 0.002368
BEL000071985 0.007549
BEL000071985 0.002615
BEL000071985 0.008862
BEL000071985 0.006143
BEL000071985 0.007799
BEL000071985 0.008077
BEL000071985 0.001630
BEL000071985 0.000692
BEL000071985 0.002293
BEL000071985 0.013935
BEL000071985 0.005739
BEL000071985 0.000009
BEL000071985 0.005707
BEL000071985 0.008797
BEL000071985 0.004930
BEL000071985 0.001649
BEL000071985 0.000064
BEL000071985 0.000842
BEL000071985 0.001199
BEL000071985 0.001946
BEL000071985 0.012080
BEL000071985 0.001024
BEL000071985 0.002178
BEL000071985 0.000198
BEL000071985 0.001047
BEL000071985 0.001351
BEL000071985 0.002200
BEL000071985 0.000281
BEL000071985 0.000385
BEL000071985 0.000147
BEL000081967 0.004339
BEL000081967 0.001705
BEL000081967 0.000033
BEL000081967 0.000115
BEL000081967 0.006346
BEL000081967 0.007306
BEL000081967 0.011480
BEL000081967 0.005768
BEL000081967 0.003935
BEL000081967 0.010816
BEL000081967 0.012000
BEL000081967 0.006637
BEL000081967 0.009799
BEL000081967 0.005082
BEL000081967 0.014385
BEL000081967 0.010265
BEL000081967 0.008764
BEL000081967 0.007825
BEL000081967 0.006944
BEL000081967 0.009014
BEL000081967 0.005218
BEL000081967 0.010521
BEL000081967 0.007024
BEL000081967 0.011382
BEL000081967 0.010658
BEL000081967 0.006919
BEL000081967 0.005641
BEL000081967 0.006226
BEL000081967 0.009527
BEL000081967 0.005165
BEL000081967 0.007039
BEL000081967 0.006805
BEL000081967 0.001599
BEL000081967 0.003884
BEL000081967 0.005812
BEL000081967 0.011465
BEL000081967 0.008687
BEL000081967 0.003988
BEL000081967 0.004520
