stock;Winf;k;Linf;K;t0;a;b;L50;alpha;beta;r_age;tac_tons;fbar_age_min;fbar_age_max;F_target;F_percent;TAC_percent;B_trigger;FMSY;fbar_assessment;ssb_assessment;mls_cat;mls;sz_bin_cm;unit_sizebin;CV_recru;mat;mat_cat;etha_m;kappa;q;n;fzeroest;species
FLE.nsea;40637;0;33.2;0.14;0;0.00667;3.18;23;0;0;2;1e+05;2;4;2;10;15;1e+06;2;0;0;4;23;5;1;0.3;23;4;0.25;2e+08;0.8;0.75;0.6;0
GUG.nsea;0;0;37.2;0.41;0;0.006;3.082;16.3;0;0;0;0;0;0;2;0;0;0;2;0;0;4;23;5;1;0.3;16.3;3;0.25;2e+08;0.8;0.75;0.6;0
HAD.nsea;8400;0.271;50;0.3;-1.33;0.0157;2.8268;27;191.72;2.3e-06;0;26405;2;4;0.19;10;15;132000;0.19;0.207;148893;6;30;5;1;0.3;27;3;0.25;2e+08;0.8;0.75;0.6;0
HER.3a22;525;0.32;30;0.3;-0.7155;0.0049;3.089;20;42;4.6e-07;3;6404;3;6;0.31;10;20;150000;0.31;0.382;56621;3;20;5;1;0.3;20;4;0.25;2e+08;0.8;0.75;0.6;0
HER.2532;525;0.32;24;0.34;-0.7155;0.0062;3.019;20;30.36;5e-07;1;170360;3;6;0.22;10;20;6e+05;0.22;0.4478;501973;3;20;5;1;0.3;20;4;0.25;2e+08;0.8;0.75;0.6;0
HER.nsea;525;0.849;33;0.606;0;0.00603;3.0904;23;113.98;8e-07;0;600588;2;6;0.26;10;15;1400000;0.26;0.1784;1684747;0;20;5;1;0.3;23;4;0.25;2e+08;0.8;0.75;0.6;0
HKE.nsea;48000;0.216;103.6;0.11;-0.97;0.0047;3.099;41;2.6;3e-06;0;9200;3;6;0.27;10;15;56000;0.27;0.23;285371;0;27;5;1;0.3;41;7;0.25;2e+08;0.8;0.75;0.6;0
HOM.nsea;0;0;28;0.38;-1.49;0.0098;2.745;19;3.5;4e-07;0;0;3;6;2;10;15;1e+06;2;0;0;0;15;3;1;0.3;19;3;0.25;2e+08;0.8;0.75;0.6;0
LEM.kask;0;0;37;0.42;0;0.0065;3.014;27;0;0;0;4874;2;4;2;10;15;1e+06;2;0;0;4;24;5;1;0.3;27;5;0.25;2e+08;0.8;0.75;0.6;0
MAC.nsea;9988;0;38;0.51;0;0.0052;3.167;26;5.11;4e-07;0;1e+05;4;8;2;10;15;0;2;0.22;3731510;0;0;5;1;0.3;26;5;0.25;2e+08;0.8;0.75;0.6;0
MUR.nsea;0;0;51.35;0.186;-1.21;0;0;17;0;0;0;0;1;2;2;10;15;0;2;0;0;0;0;5;1;0.3;17;3;0.25;2e+08;0.8;0.75;0.6;0
MON.nsea;0;0;106;0.18;0;0.0297;2.841;61;0;0;0;50000;3;6;2;10;15;1e+06;2;0;0;7;35;5;1;0.3;61;12;0.25;2e+08;0.8;0.75;0.6;0
MUS.kask;0;0;5;0.1;0;0.01;3.0147;0;0;0;0;50000;0;1;2;10;15;1e+06;2;0;0;0;0;5;1;0.3;0;0;0.25;2e+08;0.8;0.75;0.6;0
MUS.2224;0;0;5;0.1;0;0.01;3.0147;0;0;0;0;50000;0;1;2;10;15;1e+06;2;0;0;0;0;5;1;0.3;0;0;0.25;2e+08;0.8;0.75;0.6;0
NEP.nsea;20;0;6.6;0.1;0;0.048;2.883;2.5;0;0;0;22103;0;4;2;10;15;1e+06;2;0;0;1;8.5;5;1;0.3;2.5;0;0.25;2e+08;0.8;0.75;0.6;0
NEP.kask;20;0;6.6;0.1;0;0.048;2.883;2.5;0;0;0;13733;0;4;0.079;10;15;0;0.079;0.026;5093000;2;10.5;5;1;0.3;2.5;0;0.25;2e+08;0.8;0.75;0.6;0
NOP.nsea;214;0.849;24;0.849;0;0.0075;3.024;18.6;1424.3;4.3e-06;0;358000;1;2;0.62;10;15;39450;0.62;0.224;166849;0;0;5;1;0.3;18.6;3;0.25;2e+08;0.8;0.75;0.6;0
PLE.2123;3500;0.12;48.5;0.21;-0.43;0.01;3.0147;25;4.06;3.5e-06;0;1705;3;5;0.37;10;30;5550;0.37;0.17;19064;5;27;5;1;0.3;25;3;0.25;2e+08;0.8;0.75;0.6;0
PLE.2432;3500;0.12;48.5;0.21;-0.43;0.01;3.0147;25;4.06;3.5e-06;0;10122;3;5;2;10;30;1e+06;2;0.259;21450;5;25;5;1;0.3;25;3;0.25;2e+08;0.8;0.75;0.6;0
PLE.nsea;3500;0.12;54.4;0.11;0;0.01;3.0147;27;4.06;3.5e-06;0;127986;2;6;0.21;10;15;564599;0.21;0.166;1052312;5;27;5;1;0.3;27;4;0.25;2e+08;0.8;0.75;0.6;0
POK.nsea;16000;0.175;119;0.175;0;0.0085;3.024;58;2.51;3.2e-06;1;31284;4;7;0.363;10;15;149098;0.363;0.461;196167;7;35;5;1;0.3;58;11;0.25;2e+08;0.8;0.75;0.6;0
POL.nsea;0;0;0;0;0;0;0;47.1;0;0;0;0;0;0;2;10;15;0;0.363;0;0;6;30;5;1;0.3;47.1;8;0.25;2e+08;0.8;0.75;0.6;0
PRA.nsea;0;0;3.1;0.5;0;0.0026;3.613;2;7442212000;0;0;7944;1;3;0.6;10;15;9900;0.6;0.53;8319;1;5;5;1;0.3;2;0;0.25;2e+08;0.8;0.75;0.6;0
SAN.nsea;36;1;24;1;0;0.0049;2.783;12;1643.3;9e-07;0;1e+05;0;0;2;10;15;0;2;0;0;0;1;5;1;0.3;12;2;0.25;2e+08;0.8;0.75;0.6;0
SOL.3a2223;1500;0.284;39;0.4;-1.34963;0.0057;3.017;25;5.11;1.68e-05;1;502;4;8;0.23;10;15;2600;0.23;0.23;2749;4;24;5;1;0.3;25;3;0.25;2e+08;0.8;0.75;0.6;0
SOL.nsea;1500;0.284;47;0.284;-1.34963;0.0089;3.017;25;5.11;1.68e-05;1;12555;2;6;0.2;10;15;42838;0.207;0.2716;28244;4;24;5;1;0.3;25;3;0.25;2e+08;0.8;0.75;0.6;0
SPR.nsea;20;0.68;17;0.681;0;0.0059;3.109;12;148.41;5e-10;0;176411;1;2;0.7;10;15;125000;0.69;1.718;496976;1;5;5;1;0.3;12;2;0.25;2e+08;0.8;0.75;0.6;0
SPR.2232;20;0.7;13.6;0.6;0;0.0041;3.22;10;148.41;5e-10;1;270772;3;5;0.26;10;20;570000;0.26;0.22;1391000;1;5;5;1;0.3;10;2;0.25;2e+08;0.8;0.75;0.6;0
TUR.2232;0;0;50;0.12;0;0.0179;3.02;25;0;0;0;194;0;0;2;10;15;0;2;0;0;5;30;5;1;0.3;25;3;0.25;2e+08;0.8;0.75;0.6;0
TUR.nsea;0;0;50;0.12;0;0.0179;3.02;34.2;0;0;1;8122;2;6;0.36;10;15;6353;0.36;0.367;8218;5;30;5;1;0.3;34.2;6;0.25;2e+08;0.8;0.75;0.6;0
TUR.kask;0;0;50;0.12;0;0.0179;3.02;25;0;0;0;0;0;0;2;10;15;0;2;0.66;1.48;5;30;5;1;0.3;25;5;0.25;2e+08;0.8;0.75;0.6;0
WHG.kask;1192;0.323;62.4;0.162;-0.97749;0.0089;2.926;20;13.47;2.3e-06;1;1050;0;0;2;10;15;0;2;0;0;4;23;5;1;0.3;20;4;0.25;2e+08;0.8;0.75;0.6;0
WHG.2232;1192;0.323;63.8;0.141;-0.97749;0.035;2.58;20;13.47;2.3e-06;0;1e+05;0;0;2;10;15;0;2;0;0;4;23;5;1;0.3;20;4;0.25;2e+08;0.8;0.75;0.6;0
WHG.nsea;1192;0.323;52;0.323;-0.97749;0.0099;2.943;21;13.47;2.3e-06;1;19477;3;6;0.172;10;15;166708;0.172;0.208;154803;5;27;5;1;0.3;21;4;0.25;2e+08;0.8;0.75;0.6;0
WIT.nsea;0;0;44;0.2;0;0.0017;3.389;29;0;0;0;3000;4;8;0.154;10;15;4745;0.154;0.202;5993;0;0;5;1;0.3;29;5;0.25;2e+08;0.8;0.75;0.6;0
